,Geographic Area Name,State,Total Population,Population per square kilometer (Population Density),Population 65 Years and Over,Percent of Population that is 65 Years and Over,Percentage of people whose income in the past 12 months is below the poverty level
1619,Judith Basin County,Montana,1951,0.402893840955224,406,20.8,13.7
1620,Lake County,Montana,29774,7.71289006857083,6187,20.8,21.1
1621,Lewis and Clark County,Montana,67077,7.48864201778072,11607,17.3,11.2
1622,Liberty County,Montana,2280,0.615610723803374,568,24.9,14.3
1623,Lincoln County,Montana,19358,2.06896594549494,5228,27.0,18.5
1624,McCone County,Montana,1630,0.238188063699479,419,25.7,7.7
1625,Madison County,Montana,8218,0.884294427327434,2283,27.8,10.6
1626,Meagher County,Montana,1968,0.317680163643264,448,22.8,15.0
1627,Mineral County,Montana,4211,1.33310128570151,1180,28.0,17.0
1628,Missoula County,Montana,115983,17.2700086788915,16877,14.6,14.9
1629,Musselshell County,Montana,4807,0.993063276792967,1169,24.3,19.0
1630,Park County,Montana,16246,2.2382451014786,3412,21.0,12.5
1631,Petroleum County,Montana,432,0.100745144084347,84,19.4,8.4
1632,Phillips County,Montana,4124,0.309754319083627,886,21.5,14.9
1633,Pondera County,Montana,6044,1.43644547037516,1194,19.8,20.0
1634,Powder River County,Montana,1619,0.189527657125451,394,24.3,10.4
1635,Powell County,Montana,6861,1.13886461299252,1335,19.5,12.7
1636,Prairie County,Montana,1342,0.298369404534263,379,28.2,11.2
1637,Ravalli County,Montana,41902,6.76640377808936,10178,24.3,14.3
1638,Richland County,Montana,11360,2.10431503800759,1616,14.2,5.4
1639,Roosevelt County,Montana,11228,1.84136756089834,1211,10.8,28.3
1640,Rosebud County,Montana,9250,0.713128729279225,1367,14.8,18.7
1641,Sanders County,Montana,11521,1.61146273488614,3325,28.9,19.5
1642,Sheridan County,Montana,3574,0.823443132169081,783,21.9,11.0
1643,Silver Bow County,Montana,34814,18.7215497841525,6376,18.3,19.1
1644,Stillwater County,Montana,9410,2.02211171510394,1988,21.1,6.4
1645,Sweet Grass County,Montana,3653,0.760133428840551,1084,29.7,7.9
1646,Teton County,Montana,6080,1.03341161101646,1375,22.6,13.3
1647,Toole County,Montana,4976,1.00325234045333,809,16.3,15.0
1648,Treasure County,Montana,777,0.306812412218308,183,23.6,16.0
1649,Valley County,Montana,7532,0.590349696305137,1632,21.7,9.1
1650,Wheatland County,Montana,2149,0.583300336172649,440,20.5,17.2
1651,Wibaux County,Montana,1175,0.510539111008718,246,20.9,15.8
1652,Yellowstone County,Montana,157816,23.1379782522651,25450,16.1,9.9
1653,Adams County,Nebraska,31583,21.6489607989518,5438,17.2,13.0
1654,Antelope County,Nebraska,6372,2.8699707526244,1451,22.8,12.6
1655,Arthur County,Nebraska,418,0.225609394168778,106,25.4,10.3
1656,Banner County,Nebraska,696,0.360122313246362,134,19.3,9.7
1657,Blaine County,Nebraska,480,0.260774045385267,123,25.6,12.5
1658,Boone County,Nebraska,5313,2.98790994793715,1170,22.0,6.1
1659,Box Butte County,Nebraska,11089,3.98169516670638,1910,17.2,11.9
1660,Boyd County,Nebraska,2042,1.46021496413722,575,28.2,10.6
1661,Brown County,Nebraska,2988,0.944584304636339,792,26.5,15.2
