,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020
365,185,13,Lowndes,Georgia,48
366,189,13,McDuffie,Georgia,4
367,193,13,Macon,Georgia,4
368,199,13,Meriwether,Georgia,4
369,201,13,Miller,Georgia,4
370,205,13,Mitchell,Georgia,4
371,207,13,Monroe,Georgia,5
372,213,13,Murray,Georgia,5
373,215,13,Muscogee,Georgia,61
374,217,13,Newton,Georgia,10
375,223,13,Paulding,Georgia,8
376,225,13,Peach,Georgia,4
377,227,13,Pickens,Georgia,6
378,233,13,Polk,Georgia,4
379,235,13,Pulaski,Georgia,6
380,133,13,Greene,Georgia,4
381,243,13,Randolph,Georgia,4
382,245,13,Richmond,Georgia,390
383,247,13,Rockdale,Georgia,16
384,253,13,Seminole,Georgia,8
385,255,13,Spalding,Georgia,22
386,257,13,Stephens,Georgia,6
387,261,13,Sumter,Georgia,9
388,275,13,Thomas,Georgia,35
389,277,13,Tift,Georgia,20
390,279,13,Toombs,Georgia,8
391,281,13,Towns,Georgia,4
392,285,13,Troup,Georgia,20
393,291,13,Union,Georgia,5
394,293,13,Upson,Georgia,28
395,297,13,Walton,Georgia,7
396,299,13,Ware,Georgia,10
397,303,13,Washington,Georgia,10
398,305,13,Wayne,Georgia,12
399,313,13,Whitfield,Georgia,34
400,317,13,Wilkes,Georgia,4
401,321,13,Worth,Georgia,4
402,1,15,Hawaii,Hawaii,24
403,3,15,Honolulu,Hawaii,139
404,7,15,Kauai,Hawaii,7
405,9,15,Maui,Hawaii,25
406,5,16,Bannock,Idaho,20
407,13,16,Blaine,Idaho,4
408,17,16,Bonner,Idaho,4
409,19,16,Bonneville,Idaho,42
410,27,16,Canyon,Idaho,31
411,31,16,Cassia,Idaho,6
412,55,16,Kootenai,Idaho,61
413,57,16,Latah,Idaho,3
414,59,16,Lemhi,Idaho,3
415,65,16,Madison,Idaho,4
416,69,16,Nez Perce,Idaho,9
417,83,16,Twin Falls,Idaho,30
418,1,17,Adams,Illinois,25
419,5,17,Bond,Illinois,6
420,11,17,Bureau,Illinois,9
421,19,17,Champaign,Illinois,39
422,21,17,Christian,Illinois,8
423,25,17,Clay,Illinois,3
424,27,17,Clinton,Illinois,8
425,29,17,Coles,Illinois,14
426,31,17,Cook,Illinois,1470
427,33,17,Crawford,Illinois,4
428,37,17,DeKalb,Illinois,16
429,39,17,De Witt,Illinois,3
430,43,17,DuPage,Illinois,219
431,49,17,Effingham,Illinois,10
432,53,17,Ford,Illinois,2
433,57,17,Fulton,Illinois,5
434,61,17,Greene,Illinois,4
435,63,17,Grundy,Illinois,8
436,65,17,Hamilton,Illinois,4
437,69,17,Hardin,Illinois,4
438,73,17,Henry,Illinois,7
439,75,17,Iroquois,Illinois,5
440,77,17,Jackson,Illinois,25
441,81,17,Jefferson,Illinois,22
442,83,17,Jersey,Illinois,4
443,85,17,Jo Daviess,Illinois,3
444,89,17,Kane,Illinois,120
445,91,17,Kankakee,Illinois,27
446,95,17,Knox,Illinois,18
447,97,17,Lake,Illinois,109
448,99,17,LaSalle,Illinois,13
