,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020
294,109,12,St. Johns,Florida,335.0
295,111,12,St. Lucie,Florida,621.0
296,113,12,Santa Rosa,Florida,255.0
297,115,12,Sarasota,Florida,1406.0
298,117,12,Seminole,Florida,221.0
299,121,12,Suwannee,Florida,25.0
300,123,12,Taylor,Florida,48.0
301,127,12,Volusia,Florida,1377.0
302,131,12,Walton,Florida,136.0
303,133,12,Washington,Florida,59.0
304,1,13,Appling,Georgia,49.0
305,5,13,Bacon,Georgia,25.0
306,9,13,Baldwin,Georgia,140.0
307,13,13,Barrow,Georgia,56.0
308,15,13,Bartow,Georgia,119.0
309,17,13,Ben Hill,Georgia,75.0
310,19,13,Berrien,Georgia,63.0
311,21,13,Bibb,Georgia,1050.0
312,23,13,Bleckley,Georgia,25.0
313,27,13,Brooks,Georgia,25.0
314,31,13,Bulloch,Georgia,149.0
315,33,13,Burke,Georgia,40.0
316,35,13,Butts,Georgia,25.0
317,39,13,Camden,Georgia,40.0
318,43,13,Candler,Georgia,25.0
319,45,13,Carroll,Georgia,326.0
320,47,13,Catoosa,Georgia,179.0
321,51,13,Chatham,Georgia,1126.0
322,121,13,Fulton,Georgia,4075.0
323,57,13,Cherokee,Georgia,126.0
324,59,13,Clarke,Georgia,555.0
325,63,13,Clayton,Georgia,331.0
326,65,13,Clinch,Georgia,25.0
327,67,13,Cobb,Georgia,1015.0
328,69,13,Coffee,Georgia,88.0
329,71,13,Colquitt,Georgia,168.0
330,75,13,Cook,Georgia,33.0
331,77,13,Coweta,Georgia,154.0
332,81,13,Crisp,Georgia,73.0
333,87,13,Decatur,Georgia,80.0
334,89,13,DeKalb,Georgia,1622.0
335,91,13,Dodge,Georgia,94.0
336,95,13,Dougherty,Georgia,691.0
337,97,13,Douglas,Georgia,108.0
338,99,13,Early,Georgia,25.0
339,103,13,Effingham,Georgia,25.0
340,105,13,Elbert,Georgia,25.0
341,107,13,Emanuel,Georgia,72.0
342,109,13,Evans,Georgia,49.0
343,111,13,Fannin,Georgia,50.0
344,113,13,Fayette,Georgia,282.0
345,115,13,Floyd,Georgia,514.0
346,117,13,Forsyth,Georgia,304.0
347,119,13,Franklin,Georgia,56.0
348,127,13,Glynn,Georgia,300.0
349,129,13,Gordon,Georgia,69.0
350,131,13,Grady,Georgia,60.0
351,135,13,Gwinnett,Georgia,634.0
352,137,13,Habersham,Georgia,53.0
353,139,13,Hall,Georgia,657.0
354,143,13,Haralson,Georgia,25.0
355,151,13,Henry,Georgia,215.0
356,153,13,Houston,Georgia,276.0
357,155,13,Irwin,Georgia,34.0
358,157,13,Jackson,Georgia,90.0
359,159,13,Jasper,Georgia,17.0
360,161,13,Jeff Davis,Georgia,35.0
361,163,13,Jefferson,Georgia,37.0
362,173,13,Lanier,Georgia,25.0
363,175,13,Laurens,Georgia,530.0
364,179,13,Liberty,Georgia,25.0
365,185,13,Lowndes,Georgia,330.0
366,189,13,McDuffie,Georgia,25.0
367,193,13,Macon,Georgia,49.0
368,199,13,Meriwether,Georgia,25.0
369,201,13,Miller,Georgia,25.0
370,205,13,Mitchell,Georgia,25.0
371,207,13,Monroe,Georgia,25.0
372,213,13,Murray,Georgia,42.0
373,215,13,Muscogee,Georgia,1059.0
374,217,13,Newton,Georgia,101.0
375,223,13,Paulding,Georgia,112.0
376,225,13,Peach,Georgia,25.0
377,227,13,Pickens,Georgia,52.0
378,233,13,Polk,Georgia,25.0
379,235,13,Pulaski,Georgia,49.0
380,133,13,Greene,Georgia,25.0
381,243,13,Randolph,Georgia,25.0
382,245,13,Richmond,Georgia,2243.0
383,247,13,Rockdale,Georgia,138.0
384,253,13,Seminole,Georgia,65.0
385,255,13,Spalding,Georgia,160.0
386,257,13,Stephens,Georgia,96.0
387,261,13,Sumter,Georgia,76.0
388,275,13,Thomas,Georgia,264.0
389,277,13,Tift,Georgia,241.0
390,279,13,Toombs,Georgia,57.0
391,281,13,Towns,Georgia,25.0
392,285,13,Troup,Georgia,276.0
393,291,13,Union,Georgia,45.0
394,293,13,Upson,Georgia,115.0
395,297,13,Walton,Georgia,77.0
396,299,13,Ware,Georgia,231.0
397,303,13,Washington,Georgia,56.0
398,305,13,Wayne,Georgia,88.0
399,313,13,Whitfield,Georgia,282.0
400,317,13,Wilkes,Georgia,25.0
401,321,13,Worth,Georgia,25.0
402,1,15,Hawaii,Hawaii,295.0
403,3,15,Honolulu,Hawaii,1536.0
404,7,15,Kauai,Hawaii,72.0
405,9,15,Maui,Hawaii,243.0
406,5,16,Bannock,Idaho,205.0
407,13,16,Blaine,Idaho,25.0
408,17,16,Bonner,Idaho,25.0
409,19,16,Bonneville,Idaho,332.0
410,27,16,Canyon,Idaho,256.0
411,31,16,Cassia,Idaho,25.0
412,55,16,Kootenai,Idaho,364.0
413,57,16,Latah,Idaho,25.0
414,59,16,Lemhi,Idaho,18.0
415,65,16,Madison,Idaho,69.0
416,69,16,Nez Perce,Idaho,145.0
417,83,16,Twin Falls,Idaho,224.0
418,1,17,Adams,Illinois,307.0
419,5,17,Bond,Illinois,42.0
420,11,17,Bureau,Illinois,94.0
421,19,17,Champaign,Illinois,603.0
422,21,17,Christian,Illinois,47.0
423,25,17,Clay,Illinois,20.0
424,27,17,Clinton,Illinois,70.0
425,29,17,Coles,Illinois,149.0
426,31,17,Cook,Illinois,16273.0
427,33,17,Crawford,Illinois,63.0
428,37,17,DeKalb,Illinois,123.0
429,39,17,De Witt,Illinois,25.0
430,43,17,DuPage,Illinois,1693.0
431,49,17,Effingham,Illinois,133.0
432,53,17,Ford,Illinois,41.0
433,57,17,Fulton,Illinois,87.0
434,61,17,Greene,Illinois,25.0
435,63,17,Grundy,Illinois,89.0
436,65,17,Hamilton,Illinois,25.0
437,69,17,Hardin,Illinois,25.0
438,73,17,Henry,Illinois,86.0
439,75,17,Iroquois,Illinois,25.0
440,77,17,Jackson,Illinois,179.0
441,81,17,Jefferson,Illinois,181.0
442,83,17,Jersey,Illinois,65.0
443,85,17,Jo Daviess,Illinois,25.0
444,89,17,Kane,Illinois,1100.0
445,91,17,Kankakee,Illinois,500.0
446,95,17,Knox,Illinois,254.0
447,97,17,Lake,Illinois,1119.0
448,99,17,LaSalle,Illinois,171.0
449,101,17,Lawrence,Illinois,25.0
450,103,17,Lee,Illinois,80.0
451,105,17,Livingston,Illinois,42.0
452,107,17,Logan,Illinois,25.0
453,109,17,McDonough,Illinois,60.0
454,111,17,McHenry,Illinois,242.0
455,113,17,McLean,Illinois,370.0
456,115,17,Macon,Illinois,544.0
457,117,17,Macoupin,Illinois,50.0
458,119,17,Madison,Illinois,929.0
459,121,17,Marion,Illinois,149.0
460,125,17,Mason,Illinois,25.0
461,135,17,Montgomery,Illinois,50.0
462,137,17,Morgan,Illinois,131.0
463,141,17,Ogle,Illinois,16.0
464,143,17,Peoria,Illinois,1176.0
465,145,17,Perry,Illinois,42.0
466,147,17,Piatt,Illinois,16.0
467,149,17,Pike,Illinois,35.0
468,157,17,Randolph,Illinois,75.0
469,159,17,Richland,Illinois,134.0
470,161,17,Rock Island,Illinois,472.0
471,163,17,St. Clair,Illinois,642.0
472,165,17,Saline,Illinois,102.0
473,167,17,Sangamon,Illinois,915.0
474,169,17,Schuyler,Illinois,22.0
475,173,17,Shelby,Illinois,30.0
476,177,17,Stephenson,Illinois,100.0
477,179,17,Tazewell,Illinois,132.0
478,181,17,Union,Illinois,47.0
479,183,17,Vermilion,Illinois,599.0
480,45,17,Edgar,Illinois,25.0
481,185,17,Wabash,Illinois,25.0
482,187,17,Warren,Illinois,23.0
483,191,17,Wayne,Illinois,55.0
484,195,17,Whiteside,Illinois,98.0
485,197,17,Will,Illinois,923.0
486,199,17,Williamson,Illinois,327.0
487,201,17,Winnebago,Illinois,875.0
488,203,17,Woodford,Illinois,25.0
489,1,18,Adams,Indiana,25.0
490,3,18,Allen,Indiana,1233.0
491,5,18,Bartholomew,Indiana,225.0
492,9,18,Blackford,Indiana,15.0
493,11,18,Boone,Indiana,68.0
494,17,18,Cass,Indiana,44.0
495,19,18,Clark,Indiana,153.0
496,21,18,Clay,Indiana,25.0
497,23,18,Clinton,Indiana,25.0
498,27,18,Daviess,Indiana,42.0
499,29,18,Dearborn,Indiana,86.0
500,31,18,Decatur,Indiana,25.0
501,33,18,DeKalb,Indiana,37.0
502,35,18,Delaware,Indiana,320.0
503,37,18,Dubois,Indiana,111.0
504,39,18,Elkhart,Indiana,322.0
505,43,18,Floyd,Indiana,246.0
506,51,18,Gibson,Indiana,25.0
507,53,18,Grant,Indiana,331.0
508,55,18,Greene,Indiana,25.0
509,57,18,Hamilton,Indiana,518.0
510,59,18,Hancock,Indiana,61.0
511,61,18,Harrison,Indiana,25.0
512,63,18,Hendricks,Indiana,260.0
513,65,18,Henry,Indiana,48.0
514,67,18,Howard,Indiana,220.0
515,69,18,Huntington,Indiana,36.0
516,71,18,Jackson,Indiana,91.0
517,73,18,Jasper,Indiana,25.0
518,75,18,Jay,Indiana,25.0
519,77,18,Jefferson,Indiana,88.0
520,79,18,Jennings,Indiana,25.0
521,81,18,Johnson,Indiana,83.0
522,83,18,Knox,Indiana,99.0
523,85,18,Kosciusko,Indiana,72.0
524,87,18,LaGrange,Indiana,25.0
525,89,18,Lake,Indiana,1494.0
526,91,18,LaPorte,Indiana,278.0
527,93,18,Lawrence,Indiana,50.0
528,95,18,Madison,Indiana,303.0
529,97,18,Marion,Indiana,3348.0
530,99,18,Marshall,Indiana,69.0
531,103,18,Miami,Indiana,25.0
532,105,18,Monroe,Indiana,286.0
533,107,18,Montgomery,Indiana,29.0
534,109,18,Morgan,Indiana,83.0
535,113,18,Noble,Indiana,31.0
536,123,18,Perry,Indiana,25.0
537,127,18,Porter,Indiana,276.0
538,133,18,Putnam,Indiana,25.0
539,135,18,Randolph,Indiana,25.0
540,137,18,Ripley,Indiana,25.0
541,139,18,Rush,Indiana,25.0
542,141,18,St. Joseph,Indiana,807.0
543,143,18,Scott,Indiana,25.0
544,145,18,Shelby,Indiana,46.0
545,149,18,Starke,Indiana,15.0
546,151,18,Steuben,Indiana,25.0
547,153,18,Sullivan,Indiana,25.0
548,157,18,Tippecanoe,Indiana,373.0
549,159,18,Tipton,Indiana,25.0
550,163,18,Vanderburgh,Indiana,765.0
551,165,18,Vermillion,Indiana,25.0
552,167,18,Vigo,Indiana,397.0
553,169,18,Wabash,Indiana,18.0
554,171,18,Warren,Indiana,16.0
555,173,18,Warrick,Indiana,123.0
556,175,18,Washington,Indiana,25.0
557,177,18,Wayne,Indiana,163.0
558,179,18,Wells,Indiana,55.0
559,181,18,White,Indiana,25.0
560,183,18,Whitley,Indiana,30.0
561,1,19,Adair,Iowa,25.0
562,3,19,Adams,Iowa,22.0
563,5,19,Allamakee,Iowa,25.0
564,7,19,Appanoose,Iowa,45.0
565,9,19,Audubon,Iowa,25.0
566,13,19,Black Hawk,Iowa,675.0
567,15,19,Boone,Iowa,42.0
568,17,19,Bremer,Iowa,25.0
569,19,19,Buchanan,Iowa,25.0
570,21,19,Buena Vista,Iowa,35.0
571,25,19,Calhoun,Iowa,25.0
572,27,19,Carroll,Iowa,116.0
573,29,19,Cass,Iowa,33.0
574,33,19,Cerro Gordo,Iowa,346.0
575,35,19,Cherokee,Iowa,25.0
576,37,19,Chickasaw,Iowa,18.0
577,39,19,Clarke,Iowa,25.0
578,41,19,Clay,Iowa,99.0
579,43,19,Clayton,Iowa,50.0
580,45,19,Clinton,Iowa,265.0
581,47,19,Crawford,Iowa,25.0
582,49,19,Dallas,Iowa,25.0
583,51,19,Davis,Iowa,25.0
584,53,19,Decatur,Iowa,25.0
585,55,19,Delaware,Iowa,25.0
586,57,19,Des Moines,Iowa,213.0
587,59,19,Dickinson,Iowa,49.0
588,61,19,Dubuque,Iowa,470.0
589,63,19,Emmet,Iowa,25.0
590,65,19,Fayette,Iowa,50.0
591,69,19,Franklin,Iowa,25.0
592,73,19,Greene,Iowa,25.0
593,75,19,Grundy,Iowa,80.0
