,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020,05/25/2020
215,37,8,Eagle,Colorado,2.0,2.0
216,41,8,El Paso,Colorado,10.5,10.5
217,43,8,Fremont,Colorado,2.0,2.0
218,45,8,Garfield,Colorado,2.0,2.0
219,51,8,Gunnison,Colorado,2.0,2.0
220,55,8,Huerfano,Colorado,0.0,0.0
221,63,8,Kit Carson,Colorado,0.0,0.0
222,65,8,Lake,Colorado,1.0,1.0
223,67,8,La Plata,Colorado,1.0,1.0
224,69,8,Larimer,Colorado,4.5,4.5
225,71,8,Las Animas,Colorado,2.0,2.0
226,75,8,Logan,Colorado,2.0,2.0
227,77,8,Mesa,Colorado,4.0,4.0
228,81,8,Moffat,Colorado,2.0,2.0
229,83,8,Montezuma,Colorado,2.0,2.0
230,85,8,Montrose,Colorado,2.0,2.0
231,87,8,Morgan,Colorado,1.5,1.5
232,89,8,Otero,Colorado,2.0,2.0
233,95,8,Phillips,Colorado,0.0,0.0
234,97,8,Pitkin,Colorado,2.0,2.0
235,99,8,Prowers,Colorado,1.0,1.0
236,101,8,Pueblo,Colorado,6.0,6.0
237,103,8,Rio Blanco,Colorado,1.0,1.0
238,105,8,Rio Grande,Colorado,2.0,2.0
239,107,8,Routt,Colorado,2.0,2.0
240,117,8,Summit,Colorado,2.0,2.0
241,119,8,Teller,Colorado,1.0,1.0
242,123,8,Weld,Colorado,4.0,4.0
243,125,8,Yuma,Colorado,0.5,0.5
244,1,9,Fairfield,Connecticut,7.333333333333332,7.333333333333333
245,3,9,Hartford,Connecticut,7.125,7.125
246,5,9,Litchfield,Connecticut,3.5,3.5
247,7,9,Middlesex,Connecticut,7.0,7.0
248,11,9,New London,Connecticut,6.0,6.0
249,13,9,Tolland,Connecticut,2.0,2.0
250,15,9,Windham,Connecticut,2.5,2.5
251,1,10,Kent,Delaware,12.0,12.0
252,5,10,Sussex,Delaware,5.0,5.0
253,5,12,Bay,Florida,10.0,10.0
254,7,12,Bradford,Florida,2.0,2.0
255,9,12,Brevard,Florida,8.2,8.2
256,11,12,Broward,Florida,6.142857142857142,6.142857142857143
257,15,12,Charlotte,Florida,6.333333333333332,6.333333333333333
258,17,12,Citrus,Florida,7.0,7.0
259,19,12,Clay,Florida,14.0,14.0
260,21,12,Collier,Florida,6.0,6.0
261,23,12,Columbia,Florida,3.0,3.0
262,27,12,DeSoto,Florida,2.0,2.0
263,31,12,Duval,Florida,10.833333333333336,10.833333333333334
264,33,12,Escambia,Florida,11.666666666666664,11.666666666666666
265,35,12,Flagler,Florida,3.0,3.0
266,39,12,Gadsden,Florida,0.0,0.0
267,49,12,Hardee,Florida,1.0,1.0
268,51,12,Hendry,Florida,2.0,2.0
269,53,12,Hernando,Florida,7.0,7.0
270,55,12,Highlands,Florida,4.0,4.0
271,57,12,Hillsborough,Florida,8.181818181818182,8.181818181818182
272,59,12,Holmes,Florida,2.0,2.0
273,61,12,Indian River,Florida,5.5,5.5
274,63,12,Jackson,Florida,3.0,3.0
275,119,12,Sumter,Florida,8.0,8.0
276,69,12,Lake,Florida,6.333333333333332,6.333333333333333
277,71,12,Lee,Florida,22.0,22.0
278,73,12,Leon,Florida,16.0,16.0
279,81,12,Manatee,Florida,7.0,7.0
280,83,12,Marion,Florida,13.0,13.0
281,85,12,Martin,Florida,17.0,17.0
282,86,12,Miami-Dade,Florida,9.388888888888891,9.38888888888889
283,87,12,Monroe,Florida,2.0,2.0
284,89,12,Nassau,Florida,3.0,3.0
285,91,12,Okaloosa,Florida,5.0,5.0
286,93,12,Okeechobee,Florida,3.0,3.0
287,95,12,Orange,Florida,18.33333333333333,18.333333333333332
288,97,12,Osceola,Florida,6.0,6.0
289,99,12,Palm Beach,Florida,7.7142857142857135,7.714285714285714
290,101,12,Pasco,Florida,4.8,4.8
291,103,12,Pinellas,Florida,6.090909090909091,6.090909090909091
292,105,12,Polk,Florida,8.2,8.2
293,107,12,Putnam,Florida,5.0,5.0
294,109,12,St. Johns,Florida,6.0,6.0
295,111,12,St. Lucie,Florida,9.0,9.0
296,113,12,Santa Rosa,Florida,2.0,2.0
297,115,12,Sarasota,Florida,7.5,7.5
298,117,12,Seminole,Florida,6.0,6.0
299,121,12,Suwannee,Florida,2.0,2.0
300,123,12,Taylor,Florida,2.0,2.0
301,127,12,Volusia,Florida,6.0,6.0
302,131,12,Walton,Florida,2.0,2.0
303,133,12,Washington,Florida,2.0,2.0
304,1,13,Appling,Georgia,2.0,2.0
305,5,13,Bacon,Georgia,1.0,1.0
306,9,13,Baldwin,Georgia,2.0,2.0
307,13,13,Barrow,Georgia,2.0,2.0
308,15,13,Bartow,Georgia,5.0,5.0
309,17,13,Ben Hill,Georgia,2.0,2.0
310,19,13,Berrien,Georgia,1.0,1.0
311,21,13,Bibb,Georgia,7.0,7.0
312,23,13,Bleckley,Georgia,1.0,1.0
313,27,13,Brooks,Georgia,1.0,1.0
314,31,13,Bulloch,Georgia,4.0,4.0
315,33,13,Burke,Georgia,1.0,1.0
316,35,13,Butts,Georgia,2.0,2.0
317,39,13,Camden,Georgia,2.0,2.0
318,43,13,Candler,Georgia,2.0,2.0
319,45,13,Carroll,Georgia,5.5,5.5
320,47,13,Catoosa,Georgia,2.0,2.0
321,51,13,Chatham,Georgia,9.666666666666666,9.666666666666666
322,121,13,Fulton,Georgia,9.0,9.0
323,57,13,Cherokee,Georgia,6.0,6.0
324,59,13,Clarke,Georgia,6.5,6.5
325,63,13,Clayton,Georgia,6.0,6.0
326,65,13,Clinch,Georgia,1.0,1.0
327,67,13,Cobb,Georgia,32.0,32.0
328,69,13,Coffee,Georgia,3.0,3.0
329,71,13,Colquitt,Georgia,1.5,1.5
330,75,13,Cook,Georgia,0.0,0.0
331,77,13,Coweta,Georgia,7.0,7.0
332,81,13,Crisp,Georgia,3.0,3.0
333,87,13,Decatur,Georgia,2.0,2.0
334,89,13,DeKalb,Georgia,7.0,7.0
335,91,13,Dodge,Georgia,2.0,2.0
336,95,13,Dougherty,Georgia,9.0,9.0
337,97,13,Douglas,Georgia,10.0,10.0
338,99,13,Early,Georgia,1.0,1.0
339,103,13,Effingham,Georgia,2.0,2.0
340,105,13,Elbert,Georgia,2.0,2.0
341,107,13,Emanuel,Georgia,2.0,2.0
342,109,13,Evans,Georgia,2.0,2.0
343,111,13,Fannin,Georgia,2.0,2.0
344,113,13,Fayette,Georgia,8.0,8.0
345,115,13,Floyd,Georgia,9.0,9.0
346,117,13,Forsyth,Georgia,7.0,7.0
347,119,13,Franklin,Georgia,2.0,2.0
348,127,13,Glynn,Georgia,8.0,8.0
349,129,13,Gordon,Georgia,2.0,2.0
350,131,13,Grady,Georgia,2.0,2.0
351,135,13,Gwinnett,Georgia,11.5,11.5
352,137,13,Habersham,Georgia,2.0,2.0
353,139,13,Hall,Georgia,20.0,20.0
354,143,13,Haralson,Georgia,2.0,2.0
355,151,13,Henry,Georgia,10.0,10.0
356,153,13,Houston,Georgia,5.5,5.5
357,155,13,Irwin,Georgia,2.0,2.0
358,157,13,Jackson,Georgia,2.0,2.0
359,159,13,Jasper,Georgia,0.0,0.0
360,161,13,Jeff Davis,Georgia,2.0,2.0
361,163,13,Jefferson,Georgia,2.0,2.0
362,173,13,Lanier,Georgia,1.0,1.0
363,175,13,Laurens,Georgia,3.0,3.0
364,179,13,Liberty,Georgia,2.0,2.0
365,185,13,Lowndes,Georgia,9.0,9.0
366,189,13,McDuffie,Georgia,2.0,2.0
367,193,13,Macon,Georgia,0.0,0.0
368,199,13,Meriwether,Georgia,2.0,2.0
369,201,13,Miller,Georgia,2.0,2.0
370,205,13,Mitchell,Georgia,1.0,1.0
371,207,13,Monroe,Georgia,2.0,2.0
372,213,13,Murray,Georgia,1.0,1.0
373,215,13,Muscogee,Georgia,8.666666666666666,8.666666666666666
374,217,13,Newton,Georgia,4.0,4.0
375,223,13,Paulding,Georgia,9.0,9.0
376,225,13,Peach,Georgia,2.0,2.0
377,227,13,Pickens,Georgia,3.0,3.0
378,233,13,Polk,Georgia,2.0,2.0
379,235,13,Pulaski,Georgia,2.0,2.0
380,133,13,Greene,Georgia,2.0,2.0
381,243,13,Randolph,Georgia,1.0,1.0
382,245,13,Richmond,Georgia,11.2,11.2
383,247,13,Rockdale,Georgia,5.0,5.0
384,253,13,Seminole,Georgia,1.0,1.0
385,255,13,Spalding,Georgia,12.0,12.0
386,257,13,Stephens,Georgia,2.0,2.0
387,261,13,Sumter,Georgia,3.0,3.0
388,275,13,Thomas,Georgia,7.0,7.0
389,277,13,Tift,Georgia,4.0,4.0
390,279,13,Toombs,Georgia,3.0,3.0
391,281,13,Towns,Georgia,1.0,1.0
392,285,13,Troup,Georgia,7.0,7.0
393,291,13,Union,Georgia,2.0,2.0
394,293,13,Upson,Georgia,2.0,2.0
395,297,13,Walton,Georgia,3.0,3.0
396,299,13,Ware,Georgia,8.0,8.0
397,303,13,Washington,Georgia,2.0,2.0
398,305,13,Wayne,Georgia,2.0,2.0
399,313,13,Whitfield,Georgia,8.0,8.0
400,317,13,Wilkes,Georgia,1.0,1.0
401,321,13,Worth,Georgia,2.0,2.0
402,1,15,Hawaii,Hawaii,3.333333333333333,3.3333333333333335
403,3,15,Honolulu,Hawaii,4.125,4.125
404,7,15,Kauai,Hawaii,2.0,2.0
405,9,15,Maui,Hawaii,1.6666666666666667,1.6666666666666667
406,5,16,Bannock,Idaho,4.0,4.0
407,13,16,Blaine,Idaho,1.0,1.0
408,17,16,Bonner,Idaho,2.0,2.0
409,19,16,Bonneville,Idaho,4.5,4.5
410,27,16,Canyon,Idaho,3.5,3.5
411,31,16,Cassia,Idaho,2.0,2.0
412,55,16,Kootenai,Idaho,3.5,3.5
