,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020,05/25/2020
176,59,6,Orange,California,0.4892705238095239,0.48927052380952385
177,61,6,Placer,California,0.57933485,0.57933485
178,63,6,Plumas,California,0.3045733666666666,0.3045733666666666
179,65,6,Riverside,California,0.4767217769230769,0.4767217769230769
180,67,6,Sacramento,California,0.620505925,0.620505925
181,69,6,San Benito,California,0.3344702,0.3344702
182,71,6,San Bernardino,California,0.4822501176470588,0.48225011764705883
183,73,6,San Diego,California,0.5899024999999999,0.5899024999999999
184,75,6,San Francisco,California,0.4356946611111111,0.4356946611111111
185,77,6,San Joaquin,California,0.4970446285714286,0.49704462857142856
186,79,6,San Luis Obispo,California,0.415271,0.415271
187,81,6,San Mateo,California,0.3620879814285714,0.3620879814285714
188,83,6,Santa Barbara,California,0.41079756,0.41079755999999995
189,85,6,Santa Clara,California,0.59066185,0.59066185
190,87,6,Santa Cruz,California,0.4065330333333333,0.4065330333333333
191,89,6,Shasta,California,0.337571405,0.337571405
192,93,6,Siskiyou,California,0.4168767,0.4168767
193,95,6,Solano,California,0.5010922666666667,0.5010922666666667
194,97,6,Sonoma,California,0.4199890857142857,0.41998908571428567
195,99,6,Stanislaus,California,0.41472872,0.41472872
196,101,6,Sutter,California,0.2258317,0.2258317
197,103,6,Tehama,California,0.5535365,0.5535365
198,105,6,Trinity,California,0.2373699,0.2373699
199,107,6,Tulare,California,0.44418955666666665,0.44418955666666665
200,109,6,Tuolumne,California,0.5068819999999999,0.506882
201,111,6,Ventura,California,0.5134645571428572,0.5134645571428572
202,113,6,Yolo,California,0.47558549999999994,0.4755855
203,115,6,Yuba,California,0.7073475,0.7073475
204,1,8,Adams,Colorado,0.58607424,0.58607424
205,3,8,Alamosa,Colorado,0.3779145,0.3779145
206,5,8,Arapahoe,Colorado,0.6995520000000001,0.6995520000000001
207,35,8,Douglas,Colorado,0.5052066000000001,0.5052066000000001
208,7,8,Archuleta,Colorado,0.2956413,0.2956413
209,13,8,Boulder,Colorado,0.4773872333333333,0.4773872333333333
210,15,8,Chaffee,Colorado,0.41019179999999994,0.4101918
211,17,8,Cheyenne,Colorado,0.05678705,0.05678705
212,29,8,Delta,Colorado,0.27369299999999996,0.273693
213,31,8,Denver,Colorado,0.4826607216666667,0.4826607216666667
214,59,8,Jefferson,Colorado,0.6670877500000001,0.6670877500000001
215,37,8,Eagle,Colorado,0.2490705,0.2490705
216,41,8,El Paso,Colorado,0.6202245,0.6202245
217,43,8,Fremont,Colorado,0.5951781,0.5951781
218,45,8,Garfield,Colorado,0.6188996999999999,0.6188997
219,51,8,Gunnison,Colorado,0.23342470000000004,0.2334247
220,55,8,Huerfano,Colorado,0.13407529999999998,0.1340753
221,63,8,Kit Carson,Colorado,0.2438356,0.2438356
222,65,8,Lake,Colorado,0.09486301,0.09486301
223,67,8,La Plata,Colorado,0.3255513,0.3255513
224,69,8,Larimer,Colorado,0.431540675,0.43154067500000004
225,71,8,Las Animas,Colorado,0.28701370000000004,0.2870137
226,75,8,Logan,Colorado,0.3240548,0.3240548
227,77,8,Mesa,Colorado,0.46284435,0.46284435
228,81,8,Moffat,Colorado,0.3530959,0.3530959
229,83,8,Montezuma,Colorado,0.38454790000000005,0.3845479
230,85,8,Montrose,Colorado,0.3665206,0.3665206
231,87,8,Morgan,Colorado,0.15463925,0.15463925
232,89,8,Otero,Colorado,0.4908219,0.4908219
233,95,8,Phillips,Colorado,0.1926941,0.1926941
234,97,8,Pitkin,Colorado,0.25457529999999995,0.2545753
235,99,8,Prowers,Colorado,0.32734250000000004,0.3273425
236,101,8,Pueblo,Colorado,0.5986358,0.5986358
